,AUTHORS,TITLE,YEAR
37,Rama Krishna Reddy Kummitha,Smart technologies for fighting pandemics: The techno- and human- driven approaches in controlling the virus transmission,2020
38,Biaoyang Lin,COVID-19 (Coronavirus Disease 2019): Opportunities and Challenges for Digital Health and the Internet of Medical Things in China,2020
39,Aihua Yan,How hospitals in mainland China responded to the outbreak of COVID-19 using IT-enabled services: an analysis of hospital news webpages,2020
40,Jedrek Wosik,Telehealth Transformation: COVID-19 and the rise of Virtual Care,2020
41,Sang Il Kim,Walk-Through Screening Center for COVID-19: an Accessible and Efficient Screening System in a Pandemic Situation,2020
42,Casey M. O’Connor,Economic Recovery After the COVID-19 Pandemic: Resuming Elective Orthopedic Surgery and Total Joint Arthroplasty,2020
43,Manbir Nagra,Could telehealth help eye care practitioners adapt contact lens services during the COVID-19 pandemic?,2020
44,Kelley A. Wittbold,iPad deployment for virtual evaluation in the emergency department during the COVID-19 pandemic,2020
45,Lisa Hightow-Weidman,Maximizing Digital Interventions for Youth in the Midst of Covid-19: Lessons from the Adolescent Trials Network for HIV Interventions,2020
46,C. Marasca,Telemedicine and support groups in order to improve the adherence to treatment and health related quality of life in patients affected by inflammatory skin conditions during COVID‐19 emergency,2020
47,D. Jakhar,"Screen mirroring, screen casting and screen sharing during COVID‐19: What a dermatologist should know",2020
48,Simona Bonavita,Digital triage for people with multiple sclerosis in the age of COVID-19 pandemic,2020
49,Maciej Kuziemski,AI governance in the public sector: Three tales from the frontiers of automated decision-making in democratic settings,2020
50,Satish K. Garg,Managing New-Onset Type 1 Diabetes During the COVID-19 Pandemic: Challenges and Opportunities,2020
51,Karen Goldschmidt,The COVID-19 pandemic: Technology use to support the wellbeing of children,2020
52,Xiaoyang Ren,The Application of Mobile Telehealth System to Facilitate Patient Information Presentation and Case Discussion,2020
53,Kelly M Griffin,Hospital Preparedness for COVID-19: A Practical Guide from a Critical Care Perspective,2020
54,Sultan Mahmood,Global preparedness against COVID-19: we must leverage the power of digital health (Preprint),2020
55,Kim Pollock,Embracing telemedicine into your otolaryngology practice amid the COVID-19 crisis: An invited commentary,2020
56,Eunice J. Yuan,Where to buy face masks? Survey of applications using Taiwan’s open data in the time of COVID-19,2020
57,Raju Vaishya,Artificial Intelligence (AI) applications for COVID-19 pandemic,2020
58,Swechya Banskota,15 Smartphone Apps for Older Adults to Use While in Isolation During the COVID-19 Pandemic,2020
59,Alexander E. Loeb,Departmental Experience and Lessons Learned With Accelerated Introduction of Telemedicine During the COVID-19 Crisis,2020
60,Devon Noonan,Navigating Nonessential Research Trials During COVID19: The Push We Needed For Using Digital Technology To Increase Access For Rural Participants?,2020
61,Ursula S. Myers,Flattening the Curve by Getting Ahead of It: How the VA Healthcare System Is Leveraging Telehealth to Provide Continued Access to Care for Rural Veterans,2020
62,Tim Robbins,COVID-19: A new digital dawn?,2020
63,William J. Crump,Telemedicine: Has the Time Really Finally Arrived?,2020
64,Marina Serper,Telemedicine in Liver Disease and Beyond: Can the COVID-19 Crisis Lead to Action?,2020
65,Kresimir Cosic,IMPACT OF HUMAN DISASTERS AND COVID-19 PANDEMIC ON MENTAL HEALTH: POTENTIAL OF DIGITAL PSYCHIATRY,2020
66,Elisha S. Grange,Responding to COVID-19: The UW Medicine Information Technology Services Experience,2020
67,Wyke J P Stommel,The Impact of Video-Mediated Communication on Closed Wound Assessments in Postoperative Consultations: Conversation Analytical Study,2020
68,Ruth Ellen Jones,Virtual Interviews in the Era of COVID-19: A Primer for Applicants,2020
69,Timothy J Judson,Rapid Design and Implementation of an Integrated Patient Self-Triage and Self-Scheduling Tool for COVID-19,2020
70,Tyler M Yasaka,Peer-to-Peer Contact Tracing: Development of a Privacy-Preserving Smartphone App,2020
71,Rafael A Calvo,Health surveillance during covid-19 pandemic,2020
72,Michael Klum,"Wearable Cardiorespiratory Monitoring Employing a Multimodal Digital Patch Stethoscope: Estimation of ECG, PEP, LVET and Respiration Using a 55 mm Single-Lead ECG and Phonocardiogram",2020
73,Alan D. Workman,"Endonasal instrumentation and aerosolization risk in the era of COVID-19: simulation, literature review, and proposed mitigation strategies",2020
74,Minyoung Her,How Is COVID-19 Affecting South Korea? What Is Our Current Strategy?,2020
75,Sirina Keesara,Covid-19 and Health Care’s Digital Revolution,2020
76,Robert W Turer,Electronic personal protective equipment: A strategy to protect emergency department providers in the age of COVID-19,2020
77,Robin Ohannessian,Global Telemedicine Implementation and Integration Within Health Systems to Fight the COVID-19 Pandemic: A Call to Action,2020
78,Omolola Salako,Upheaval in cancer care during the COVID-19 outbreak,2020
79,Tivani P. Mashamba-Thompson,Blockchain and Artificial Intelligence Technology for Novel Coronavirus Disease-19 Self-Testing,2020
80,Ignacio Hernández-García,Assessment of Health Information About COVID-19 Prevention on the Internet: Infodemiological Study,2020
81,Chun-Yu Lin,Active Surveillance for Suspected COVID-19 Cases in Inpatients with Information Technology,2020
82,Brook Calton,Telemedicine in the Time of Coronavirus,2020
83,Luca Ferretti,Quantifying SARS-CoV-2 transmission suggests epidemic control with digital contact tracing,2020
84,Cheryl Lin,"Policy Decisions and Use of Information Technology to Fight 2019 Novel Coronavirus Disease, Taiwan",2020
85,Jinling Hua,Corona Virus (COVID-19) “Infodemic” and Emerging Issues through a Data Lens: The Case of China,2020
86,Marcello Ienca,On the responsible use of digital data to tackle the COVID-19 pandemic,2020
87,Daniel Shu Wei Ting,Digital technology and COVID-19,2020
88,Xiao-Ben Pan,"Application of personal-oriented digital technology in preventing transmission of COVID-19, China",2020
89,John Torous,Digital Mental Health and COVID-19: Using Technology Today to Accelerate the Curve on Access and Quality Tomorrow,2020
90,J Jeffery Reeves,Rapid response to COVID-19: health informatics support for outbreak management in an academic health system,2020
91,C. Jason Wang,Response to COVID-19 in Taiwan,2020
92,Arnaud Chiolero,Covid-19: a digital epidemic,2020
